id,tribuneTheaterId,providerTheaterId,name,address,city,state,zip,distance,lon,lat,theaterChainName,ticketType
216,2664,,"Darien Playhouse","1077 Boston Post Road",Darien,CT,06820,29.9,-73.473581,41.074781,"Independent Chains",STANDARD
699,7429,,"UA Hampton Bays 5","119 West Montauk Hwy","Hampton Bays",NY,11946,6.75,-72.529324,40.876184,"United Artists",STANDARD
2819,8058,,"UA Westbury Stadium 12 & IMAX","7000 Brush Hollow Road",Westbury,NY,11590,32.96,-73.555972,40.778194,"United Artists",STANDARD
3070,6933,,"Bow Tie Cinemas Wilton 4","21 River Road",Wilton,CT,06897,31.78,-73.431308,41.190347,"Bow-Tie Cinemas",STANDARD
1542,5885,,"Bow Tie Cinemas Landmark 9 Stamford","5 Landmark Square",Stamford,CT,06905,30.84,-73.537545,41.054745,"Bow-Tie Cinemas",STANDARD
2141,5004,,"Avon Theatre Film Center, Inc.","272 Bedford Street",Stamford,CT,06901,30.68,-73.538268,41.057132,"Independent Chains",STANDARD
1541,5882,,"Bow Tie Cinemas Majestic 6","118 Summer St.",Stamford,CT,06901,30.86,-73.540846,41.054335,"Bow-Tie Cinemas",STANDARD
166,8686,2146,"AMC Loews Raceway 10","1025 Corporate Drive",Westbury,NY,11590,3.94,-73.596468,40.742383,"AMC Theatres",STANDARD
2178,5880,,"Bow Tie Cinemas New Canaan Playhouse","89 Elm St.","New Canaan",CT,06840,34.24,-73.4941,41.1467,"Bow-Tie Cinemas",STANDARD
154,7952,2144,"AMC Loews Roosevelt Field 8","630 Old Country Road","Garden City",NY,11530,4.82,-73.615179,40.739714,"AMC Theatres",STANDARD
1133,8676,,"Bow Tie Cinemas Grand Ave","1849 Grand Ave.",Baldwin,NY,11510,8.63,-73.606947,40.665849,"Bow-Tie Cinemas",STANDARD
172,6737,,"Glen Cove 6","5 School St.","Glen Cove",NY,11542,7.63,-73.631541,40.865976,"Independent Chains",STANDARD
1144,5910,,"Bow Tie Roslyn Cinemas","20 Tower Place",Roslyn,NY,11576,5.92,-73.650183,40.799832,"Bow-Tie Cinemas",STANDARD
1346,5881,,"Bow Tie Cinemas Plaza 3","2 Railroad Ave.",Greenwich,CT,06830,33.15,-73.624985,41.021489,"Bow-Tie Cinemas",STANDARD
1134,6934,,"Bow Tie Cinemas Herricks Cinema","3324 Hillside Ave.","New Hyde Park",NY,11040,6.58,-73.660334,40.752565,"Bow-Tie Cinemas",STANDARD
171,7633,2158,"AMC Loews Fantasy 5","18 N. Park Ave.","Rockville Centre",NY,11570,10.14,-73.645225,40.656818,"AMC Theatres",STANDARD
1132,5914,,"Bow Tie Cinemas Franklin Square","989 Hempstead Turnpike","Franklin Square",NY,11010,8.75,-73.676787,40.707308,"Bow-Tie Cinemas",STANDARD
279,7173,,"Rave Motion Pictures West Springfield 15","864 Riverdale Street","West Springfield",MA,01089,32.6,-72.627826,42.127818,Cinemark,STANDARD
885,8345,,"Cinemark Enfield 12","90 Elm St.",Enfield,CT,06082,29.96,-72.580946,41.994757,Cinemark,STANDARD
2630,9195,,"Rave Motion Pictures Eastfield 16","1655 Boston Rd",Springfield,MA,01129,34.76,-72.486267,42.140664,Cinemark,STANDARD
1819,4121,,"Tower Theatre - South Hadley","19 College Street","South Hadley",MA,01075,31.71,-72.576271,42.258564,"Independent Chains",STANDARD
877,6886,,"Digiplex Bloomfield","863 Park Ave",Bloomfield,CT,06002,30.42,-72.735672,41.831313,"Carmike Cinemas",STANDARD
817,7475,,"Rave Buckland Hills 18","99 Red Stone Rd.",Manchester,CT,06045,32.33,-72.54785,41.801054,Cinemark,STANDARD
4302,2022,,"Parkade Cinemas","308 Broad St",Manchester,CT,06040,32.1,-72.539978,41.778226,"Independent Chains",STANDARD
3104,7064,,"Cinemark At Hampshire Mall","367 Russell St.",Hadley,MA,01035,26.15,-72.547842,42.356368,Cinemark,STANDARD
5253,10682,,"Spotlight Theatres Front Street","39 Front St.",Hartford,CT,06103,30.73,-72.6702,41.7627,"Spotlight Theatres",STANDARD
876,5157,,"Real Art Ways Theatre","56 Arbor St.",Hartford,CT,06106,29.1,-72.703396,41.759394,"Independent Chains",STANDARD
882,6098,,"CineStudio Theatre","300 Summit Street",Hartford,CT,06106,29.26,-72.691629,41.74736,"Independent Chains",STANDARD
4426,9497,,"Cinépolis Blue Back Square","42 South Main St.","West Hartford",CT,06107,27.41,-72.74164,41.760185,"Cinepolis Luxury Cinemas",STANDARD
2696,452,,"Amherst Cinema","28 Amity Street",Amherst,MA,01002,27.9,-72.520517,42.375703,"Independent Chains",STANDARD
4947,10302,,"Cinema City at the Palace","330 New Park Ave.",Hartford,CT,06106,28.3,-72.7133,41.747,"Bow-Tie Cinemas",STANDARD
3095,5888,,"Palace 17 and Odyssey Theater","330 New Park Ave",Hartford,CT,06106,28.31,-72.712348,41.747464,"Bow-Tie Cinemas",STANDARD
2907,5984,,Simsbury,"530 Bushy Hill Road",Simsbury,CT,06070,24.96,-72.863399,41.819424,Hoyts,STANDARD
287,7309,,"Starplex Berlin 12","19 Frontage Rd",Berlin,CT,06037,24.1,-72.742883,41.629182,"Starplex Cinemas",STANDARD
6057,11464,,"Picture Show at Berlin","19 Frontage Road",Kensington,CT,06037,24.1,-72.742883,41.629182,"Picture Show Entertainment",STANDARD
2900,7319,2628,"AMC Loews Plainville 20","220 New Britain Avenue",Plainville,CT,06062,19.97,-72.845052,41.674436,"AMC Theatres",STANDARD
5969,11405,,"AMC Dine-in Holly Spring 9","320 Grand Hill Place","Holly Springs",NC,27540,32.57,-73.042795,41.911034,"AMC Theatres",STANDARD
5631,11094,,"Apple Cinemas Barkhamsted","380 New Hartford Road",Barkhamsted,CT,06063,32.57,-73.042795,41.911034,"Independent Chains",STANDARD
874,5168,,"Gilson Theatre","354 Main Street",Winsted,CT,06098,31.88,-73.069567,41.921244,"Independent Chains",STANDARD
5315,10752,,"Metro Movies 12","140 Main St.",Middletown,CT,06457,34.11,-72.646667,41.559563,"Independent Chains",STANDARD
4036,4085,,"Mansfield Movieplex","East Brook Mall","Mansfield Center",CT,06250,24.11,-72.201398,41.734574,"Zurich Cinemas",STANDARD
5534,10967,,"Cinemagic in Sturbridge","100 Charlton Road",Sturbridge,MA,01566,30.34,-72.060624,42.125562,"Independent Chains",STANDARD
2365,4027,,"Cinerom Digital Movieplex Torrington","89 Farley Place",Torrington,CT,06790,25.48,-73.123873,41.813255,"Carmike Cinemas",STANDARD
3584,1973,,"Greenfield Garden Cinema","351 Main Street",Greenfield,MA,01301,23.29,-72.5997,42.5878,"Independent Chains",STANDARD
1095,4025,,"Gardner Cinemas","336 Timpany Blvd.",Gardner,MA,01440,30.99,-71.988741,42.559515,"Independent Chains",STANDARD
310,7477,,"Showcase Cinemas Worcester North","135 Brooks St.",Worcester,MA,01606,25.32,-71.801598,42.3139,"National Amusements",STANDARD
2800,1852,,"West Boylston Cinema","101 West Boylston","West Boylston",MA,01583,28.36,-71.7844,42.3568,"Independent Chains",STANDARD
1094,237,,"Elm DraughtHouse Theatre","35 Elm St.",Millbury,MA,01527,33.79,-71.758339,42.191975,"Independent Chains",STANDARD
1710,4659,,"Regal Berkshire Mall 10","Route 8 and Old State Road",Lanesboro,MA,01237,28.18,-73.207371,42.493224,"Regal Cinemas",STANDARD
4861,10158,,"The Beacon Cinema","57 North Street",Pittsfield,MA,01201,24.47,-73.253737,42.449435,"Independent Chains",STANDARD
2808,6118,,"Triplex Cinema","70 Railroad Street","Great Barrington",MA,01230,29.78,-73.362968,42.195217,"Independent Chains",STANDARD
2751,2580,,Moviehouse,"48 Main St.",Millerton,NY,12546,27.88,-73.509976,41.953446,"Independent Chains",STANDARD
4322,9284,,"North Adams Movieplex","86 Main Street","North Adams",MA,01247,32.68,-73.11116,42.697026,"Independent Chains",STANDARD
2809,5161,,"Images Cinema","50 Spring St.",Williamstown,MA,01267,32.94,-73.204229,42.710738,"Independent Chains",STANDARD
904,212,,"Crandell Theatre","46-48 Main Street",Chatham,NY,12037,26.97,-73.595632,42.363306,"Independent Chains",STANDARD
2810,6197,,"Bennington Cinemas","319 Northside Drive",Bennington,VT,05201,22.85,-73.216088,42.903682,"Independent Chains",STANDARD
2777,3009,,"Gallery Cinemas","396 Old Hartford Road",Colchester,CT,06415,30.68,-72.3516,41.5812,"Independent Chains",STANDARD
1305,2219,,"Cinema World","476 John Fitch Hwy",Fitchburg,MA,01420,33.39,-71.773417,42.583829,"Independent Chains",STANDARD
159,6598,,"EMC Leominster 10","45 Sack Blvd.",Leominster,MA,01453,24.56,-71.746221,42.531237,"Entertainment Cinemas",STANDARD
6083,11494,,"River Street Theatre","6 River Street",Jaffrey,NH,03452,25.27,-72.023747,42.814646,"Independent Chains",STANDARD
2798,474,,"Strand Theatre - Clinton","58 High Street",Clinton,MA,01510,33.49,-71.684948,42.417054,"Independent Chains",STANDARD
579,7899,,"Regal Westborough Stadium 12","231 Turnpike Road",Westborough,MA,01581,25.98,-71.635398,42.287025,"Regal Cinemas",STANDARD
497,7579,,"Regal Solomon Pond Stadium 15","591 Donald Lynch Blvd.",Marlborough,MA,01752,30.76,-71.613876,42.356055,"Regal Cinemas",STANDARD
5745,11187,,"Fine Arts Theatre Place","19 Summer Street",Maynard,MA,01754,33.17,-71.451874,42.433504,"Independent Chains",STANDARD
724,7748,,"Regal Bellingham Stadium 14","259 Hartford Ave.",Bellingham,MA,02019,34.78,-71.460233,42.110399,"Regal Cinemas",STANDARD
463,7976,810,"AMC Framingham 16","22 Flutie Pass",Framingham,MA,01701,34.25,-71.390731,42.302999,"AMC Theatres",SELECT_SEATING
2803,475,,"Colonial Theatre NH","95 Main Street",Keene,NH,03431,30.36,-72.2782,42.9317,"Independent Chains",STANDARD
1183,2468,,"Regent Square Theatre","1035 S. BRADDOCK AVENUE",Pittsburgh,PA,15218,30.36,-79.8947,40.4337,"Independent Chains",STANDARD
286,9189,,"Southington 12","1821 Meriden-Waterbury Rd",Southington,CT,06489,34.12,-72.907205,41.565356,"Starplex Cinemas",STANDARD
878,6322,,"Bantam Cinema","115 Bantam Lake Road",Bantam,CT,06750,17.64,-73.235736,41.720628,"Independent Chains",STANDARD
897,5659,,"Regal East Greenbush 8","279 Troy Road",Rensselaer,NY,12144,32.37,-73.700956,42.640013,"Regal Cinemas",STANDARD
2813,6472,,"Hudson Movieplex","350 Fairview Ave",Hudson,NY,12534,17.2,-73.759134,42.272473,"Independent Chains",STANDARD
5656,11124,,"Time & Space Limited/TSL","434 Columbia Street",Hudson,NY,12534,15.26,-73.7864,42.251011,"Independent Chains",STANDARD
917,3035,,"Madison Theatre","1036 Madison Avenue",Albany,NY,12208,31.91,-73.789613,42.664513,"Independent Chains",STANDARD
4474,9566,,"Regal Colonie Center Stadium 13","131 Colonie Center",Albany,NY,12205,29.45,-73.816173,42.710524,"Regal Cinemas",STANDARD
895,6811,,"Regal Crossgates Stadium 18 & IMAX","1 Crossgates Mall Road",Albany,NY,12203,31.46,-73.852512,42.690721,"Regal Cinemas",STANDARD
1246,1096,,"Bank Street Theatre","46 Bank Street","New Milford",CT,06776,27.35,-73.412258,41.577454,"Independent Chains",STANDARD
1823,3046,,"Lyceum Cinemas","7270 South Broadway","Red Hook",NY,12571,20.26,-73.883657,41.98189,"Independent Chains",STANDARD
2285,2830,,"Orpheum Theatre - Saugerties","Main Street",Saugerties,NY,12477,34.4,-73.951885,42.07788,"Independent Chains",STANDARD
1852,7747,,"Regal Hudson Valley Mall 12","1300 Ulster Ave. #242",Kingston,NY,12401,34.96,-73.984959,41.966943,"Regal Cinemas",STANDARD
3876,6657,,"Village Picture Shows","263 Depot Street","Manchester Center",VT,05255,27.08,-73.053031,43.175577,"Independent Chains",STANDARD
4779,10021,,"Peterborough Community Theater","6 School St.",Peterborough,NH,03458,29.62,-71.950649,42.876723,"Independent Chains",STANDARD
3420,1963,,"Chunky's Cinema Pub -  Nashua","151 Coliseum Ave.",Nashua,NH,03063,34.72,-71.4984,42.7598,"Independent Chains",STANDARD
500,7505,812,"AMC Tyngsboro","440 Middlesex Road",Tyngsboro,MA,01879,34.92,-71.441015,42.697757,"AMC Theatres",SELECT_SEATING
3972,2318,,"Merrimack Cinemagic","11 Executive Park Drive",Merrimack,NH,03054,32.03,-71.497135,42.846616,"Zyacorp Entertainment",STANDARD
693,7041,,"Showcase Cinemas Lowell","32 Reiss Ave",Lowell,MA,01853,22.56,-71.322998,42.610783,"National Amusements",STANDARD
5627,11090,,"The Luna Theater","250 Jackson St. Unit 402",Lowell,MA,01852,33.16,-71.3122,42.6415,"Independent Chains",STANDARD
2801,1853,,"Chunky's Pelham Cinema & Pub","150 Bridge Street",Pelham,NH,03076,29.14,-71.319055,42.723297,"Independent Chains",STANDARD
6142,11564,,"Chunky's Cinema Pub","707 Huse Road",Manchester,NH,03103,26.83,-71.432453,42.951226,"Independent Chains",STANDARD
5566,11013,,"Londonderry 10","16 Orchard View Drive",Londonderry,NH,03053,25.03,-71.3543,42.8606,"Carmike Cinemas",STANDARD
3701,6281,,"Derry Cinemas","10 Ashleigh Drive",Derry,NH,03038,34.97,-71.336696,42.899988,"Independent Chains",STANDARD
465,6245,,"Lexington Venue","1794 Massachussetts Ave.",Lexington,MA,02420,32.71,-71.228203,42.447899,"Independent Chains",STANDARD
461,8863,814,"AMC Burlington 10","20 South Ave.",Burlington,MA,01803,30.48,-71.21715,42.479718,"AMC Theatres",SELECT_SEATING
221,8343,,"Showcase Cinemas Woburn","25 Middlesex Canal Parkway",Woburn,MA,01801,29.23,-71.160824,42.49726,"National Amusements",STANDARD
2901,7040,,"Showcase Cinemas Lawrence","6 Chickering Street",Lawrence,MA,01843,25.75,-71.143668,42.689102,"National Amusements",STANDARD
455,7897,,"Regal Hooksett 8","100 Technology Drive",Hooksett,NH,03106,28.1,-71.465206,43.046328,"Regal Cinemas",STANDARD
4387,9435,,"Hooksett Cinemagic & IMAX","1226 Hooksett Road",Hooksett,NH,03106,34.29,-71.439042,43.041266,"Zyacorp Entertainment",STANDARD
3076,9083,2660,"AMC Loews Methuen 20","90 Pleasant Valley St.",Methuen,MA,01844,33.13,-71.157342,42.74424,"AMC Theatres",SELECT_SEATING
457,6525,,"Capitol Theatre - Arlington","204 Massachussetts Ave.",Arlington,MA,02474,32.12,-71.142675,42.40591,"Independent Chains",STANDARD
70,6066,,"Freshpond 10","168 Alwife Brook Parkway",Cambridge,MA,02138,33.15,-71.138424,42.391277,"Independent Chains",STANDARD
2799,1714,,"Chunky's Haverhill Cinema & Pub","371 Lowell Avenue",Haverhill,MA,01832,30.16,-71.116637,42.775212,"Independent Chains",STANDARD
481,5179,,"Somerville Theatre","55 Davis Square",Somerville,MA,02144,32.83,-71.122887,42.396736,"Independent Chains",STANDARD
453,6097,,"Brattle Theatre","40 Brattle St.",Cambridge,MA,02138,34.42,-71.1213,42.373699,"Independent Chains",STANDARD
459,5165,,"Dedham Community Theatre","580 High St.",Dedham,MA,02026,31.97,-71.173155,42.247976,"Independent Chains",STANDARD
5492,10934,504,"AMC Assembly Row 12","395 Artisan Way",Somerville,MA,02145,33.21,-71.079347,42.395091,"AMC Theatres",SELECT_SEATING
3038,5658,,"Regal Fenway Stadium 13","201 Brookline Ave",Boston,MA,02115,33.6,-71.101653,42.344474,"Regal Cinemas",STANDARD
3226,9277,2657,"AMC Loews Boston Common 19","175 Tremont Street",Boston,MA,02111,33.17,-71.06417,42.353212,"AMC Theatres",E_TICKET
222,7618,,"Showcase Cinemas de Lux Revere","565 Squire Road",Revere,MA,02151,34.65,-71.020026,42.432449,"National Amusements",STANDARD
460,7504,813,"AMC Braintree","121 Grandview Road",Braintree,MA,02184,33.65,-71.033059,42.218356,"AMC Theatres",SELECT_SEATING
71,7490,2790,"AMC Loews Liberty Tree Mall 20","100 Independence Way",Danvers,MA,01923,32.29,-70.940765,42.553223,"AMC Theatres",E_TICKET
2722,3058,,"Hollywood Hits Theatre","7 Hutchinson Drive",Danvers,MA,01923,32.24,-70.932021,42.553756,"Independent Chains",STANDARD
4218,2859,,CinemaSalem,"1 E. India Square",Salem,MA,01970,34.31,-70.8822,42.5238,"Independent Chains",STANDARD
4155,2390,,"Cinemaworld Lincoln","622 George Washington Hwy. Lincoln Mall",Lincoln,RI,02865,34.41,-71.477611,41.939311,Cinemaworld,STANDARD
309,9010,,"Showcase Cinemas North Attleboro","640 South Washington St.","North Attleboro",MA,02760,31.99,-71.342055,41.954254,"National Amusements",STANDARD
2764,8232,,"Providence Place Cinemas 16","10 Providence Place",Providence,RI,02903,31.94,-71.416717,41.827085,"National Amusements",STANDARD
1024,228,,"Avon Cinema","260 Thayer Street",Providence,RI,02906,32.7,-71.400873,41.828855,"Independent Chains",STANDARD
1025,2442,,"Cable Car","204 S Main",Providence,RI,02903,32.29,-71.405486,41.823107,"Independent Chains",STANDARD
692,8346,,"Showcase Cinemas Seekonk Rt. 6","100 Commerce Way",Seekonk,MA,02771,28.8,-71.323384,41.796585,"National Amusements",STANDARD
3214,5148,,"Showcase Cinemas Warwick Mall","400 Bald Hill Road",Warwick,RI,02886,26.01,-71.473408,41.722036,"National Amusements",STANDARD
98,8347,,"Showcase Warwick","1200 Quaker Lane","East Greenwich",RI,02818,23.66,-71.495861,41.66397,"National Amusements",STANDARD
3142,4662,,"Regal Swansea Stadium 12","207 Swansea Mall Drive",Swansea,MA,02777,33.97,-71.213636,41.752226,"Regal Cinemas",STANDARD
475,8199,,"Regal Silver City Galleria 10","2 Galleria Mall Drive Suite 2832",Taunton,MA,02780,18.73,-71.051159,41.864944,"Regal Cinemas",STANDARD
471,7776,,"East Bridgewater Cinema 6","225 Bedford St.","East Bridgewater",MA,02333,27.17,-70.960175,42.026504,"South Shore Cinemas",STANDARD
454,9139,,"Cameo Theatres 1 & 2","14 Columbian St.","South Weymouth",MA,02190,33.98,-70.951467,42.174561,"South Shore Cinemas",STANDARD
4788,10038,,"Patriot Cinemas at Hingham Shipyard","25 Shipyard Drive",Hingham,MA,02043,34.96,-70.921876,42.251268,"Patriot Cinemas",STANDARD
4008,2319,,"Digiplex Lisbon 12","162 River Road",Lisbon,CT,06351,34.48,-71.990275,41.581544,"Carmike Cinemas",STANDARD
466,8975,,"Patriot Loring Hall Cinema","65 Main St.",Hingham,MA,02043,25.74,-70.888183,42.241131,"Patriot Cinemas",STANDARD
1099,2686,,"Stage II Cinema Pub","109 Main Street",Amesbury,MA,01913,26,-70.9315,42.856,"Independent Chains",STANDARD
467,207,,"Newburyport Screening Room","82 State St.",Newburyport,MA,01950,27.55,-70.870908,42.80938,"Independent Chains",STANDARD
3126,5184,,"Cinemagic Salisbury","6 Merrill Street",Salisbury,MA,01952,25.99,-70.900011,42.843501,"Zyacorp Entertainment",STANDARD
831,6821,,"Cinema 95","201 Elm St.",Salisbury,MA,01952,25.89,-70.8956,42.8442,"Independent Chains",STANDARD
3473,8976,,"Patriot Cinemas at Hanover Mall","1775 Washington Street",Hanover,MA,02339,33.67,-70.838535,42.144841,"Patriot Cinemas",STANDARD
1096,2807,,"Gloucester Cinema 3","74 Essex Ave.",Gloucester,MA,01930,32.33,-70.682848,42.612172,"Independent Chains",STANDARD
5249,10678,,"O'Neil Cinemas at Brickyard Square","24 Calef Highway",Epping,NH,03042,33.19,-71.0739,43.0231,"O'Neil Cinemas",STANDARD
5469,10911,,"Cinemagic Stadium 10","2454 Lafayette Rd",Portsmouth,NH,03801,27.26,-70.7824,43.0337,"Independent Chains",STANDARD
834,8417,,"Fox Run Stadium 15 & RPX","45 Gosling Road",Newington,NH,03801,23.62,-70.800938,43.094618,"Regal Cinemas",STANDARD
4856,10151,,"BarnZ's Barrington Cinema","586 Calef Highway, Suite One",Barrington,NH,03825,23.64,-70.998397,43.206925,"Independent Chains",STANDARD
3851,4901,,"Mill Wharf Cinema","1 Mill Wharf Plaza",Scituate,MA,02066,27.71,-70.724359,42.195055,"South Shore Cinemas",STANDARD
472,8735,,"Regal Independence Mall 14","101 Independence Mall Way",Kingston,MA,02364,33.76,-70.716784,41.968904,"Regal Cinemas",STANDARD
3645,2133,,"Flagship Cinemas Wareham 8","39 Doty Street","West Wareham",MA,02576,33.04,-70.76884,41.804592,"Flagship Cinemas",STANDARD
3131,6079,,"Flagship Cinemas New Bedford","500 Kings Hwy","New Bedford",MA,02745,26.22,-70.9409,41.673359,"Flagship Cinemas",STANDARD
3223,3985,,"Heritage Theaters","280 Rt. 130",Sandwich,MA,02563,31.65,-70.490515,41.711134,"Independent Chains",STANDARD
473,7580,,"Regal Mashpee Commons 6","11 Steeple St.",Mashpee,MA,02649,31.62,-70.490481,41.616068,"Regal Cinemas",STANDARD
2763,7019,,"Regal Cape Cod Mall Stadium 12","Rt 28 ",Hyannis,MA,02601,32.69,-70.2878,41.6652,"Regal Cinemas",STANDARD
4629,9812,,"Cape Cinema","35 Hope Lane",Dennis,MA,02638,6.69,-70.193421,41.740342,"Independent Chains",STANDARD
720,8558,876,"AMC N. Dartmouth Mall 12","140 N. Dartmouth Mall","North Dartmouth",MA,02747,24.92,-70.9906,41.6408,"AMC Theatres",STANDARD
4772,10012,,"Falmouth Cinema Pub","137 Teaticket Highway",Falmouth,MA,02541,33.91,-70.595913,41.561884,"Entertainment Cinemas",STANDARD
476,6277,,"Entertainment Cinemas South Dennis","2-6 Enterprise Road","South Dennis",MA,02660,5.48,-70.150529,41.692757,"Entertainment Cinemas",STANDARD
2397,4021,,"Wellfleet Cinemas","51 State Hwy Rte 6",Wellfleet,MA,02667,20.46,-69.987999,41.878799,"Independent Chains",STANDARD
5423,10860,,"Chatham Orpheum Theater","637 Main Street",Chatham,MA,02633,14.59,-69.9602,41.6823,"Independent Chains",STANDARD
1027,5982,,"Island Cinemas 10","866 W. Main Rd.",Middletown,RI,02842,34.19,-71.283454,41.521824,"Boston Culinary Group",STANDARD
1029,2444,,"Jane Pickens Theatre","49 Touro Street",Newport,RI,02840,32.99,-71.31377,41.489684,"Independent Chains",STANDARD
2804,476,,"Starlight Theater and Cafe","1 Union Street",Nantucket,MA,02554,26.39,-70.097823,41.28317,"Independent Chains",STANDARD
3532,7471,,"Entertainment Cinemas South Kingstown 8","30 Village Square Dr.","South Kingstown",RI,02879,29.85,-71.469922,41.454937,"Boston Culinary Group",STANDARD
2306,4661,,"Regal Stonington 10","85 Voluntown Road",Pawcatuck,CT,06379,34.51,-71.846,41.405,"Regal Cinemas",STANDARD
2179,3896,,"Mystic Luxury Cinema","27 Coogan Blvd",Mystic,CT,06355,32.79,-71.958262,41.373357,"Independent Chains",STANDARD
884,6913,,"Regal Waterford 9","123 Cross Rd.",Waterford,CT,06385,32.64,-72.161551,41.372865,"Regal Cinemas",STANDARD
2776,2956,,"Niantic Cinema","279 Main Street",Niantic,CT,06357,28.88,-72.194165,41.323326,"Independent Chains",STANDARD
2478,3191,,"Marquee Westbrook Cinemas","314 Flatrock Place",Westbrook,CT,06498,33.99,-72.426714,41.289326,"Marquee Cinemas",STANDARD
112,7151,,"UA East Hampton 6","30 Main St.","East Hampton",NY,11937,24.88,-72.185444,40.963304,"United Artists",STANDARD
4551,9687,,"Red River Theatres","11 S. Main St.",Concord,NH,03301,30.52,-71.535212,43.203811,"Independent Chains",STANDARD
456,7146,,"Regal Concord 10","282 Loudon Road",Concord,NH,03301,34.03,-71.485912,43.225011,"Regal Cinemas",STANDARD
4604,9776,,"Smitty's Cinema","630 W. Main St.",Tilton,NH,03276,21.44,-71.619508,43.44672,"Independent Chains",STANDARD
3208,3017,,"Smitty's Sanford Cinema & Pub","1364 Main Street",Sanford,ME,04073,30.04,-70.745151,43.414745,"Independent Chains",STANDARD
6074,11481,,"The Flying Monkey Movie House & Performance Center","39 Main Street",Plymouth,NH,03264,31.63,-71.687936,43.755618,"Independent Chains",STANDARD
4449,9530,,"BarnZ's Meredith Cinema","38 Route 25 Unit D",Meredith,NH,03253,31.04,-71.457703,43.685699,"Independent Chains",STANDARD
832,8090,,"Gilford Cinema 8","9 Old Lake Shore Road",Gilford,NH,03249,34.07,-72.3202,43.364386,"Boston Culinary Group",STANDARD
1795,5980,,"Claremont Cinema 6","345 Washington Street",Claremont,NH,03743,34.07,-72.3202,43.364386,"Boston Culinary Group",STANDARD
